,Abstract
0,"Soybean is one of the main sources of oil worldwide. Salinity severely affect its yield. GmSIN1 is a NAC transcription factor coding gene. Its overexpression (OE) transgenic lines greatly improved the yield in both common and saline fields. This study focuses on founding changes genes between GmSIN1 OE transgenic seedlings and control seedlings under salt stress or non-salt stress conditions. Illumina Solexa sequencing platform was used for the comparative analysis of transcriptome profiles in the roots and leaves of GmSIN1 OE transgenic seedlings and WEI6823 (control) seedlings under mock or 150 mM NaCl treatment for 6 hrs. Overall design: A total of 8 samples was analyzed. Two soybean genotypes, 2 treatment and 2 biological replicates per condition were used."
1,The goal of this study is to obtain the circadian transcriptome of soybean leaf and derive the time-indicating genes for the molecular timetable analysis. Overall design: Soybean unifoliolate mRNA profiles of 11-day-old Williams82 seedlings under the circadian condition were generated by HiSeq in triplicates
2,"Tissue culture is a major method for plant regeneration and for production of transgenic plants. Thus far, our knowledge of the dynamic epigenomic during tissue culture is limited. In this study, we generated epigenomes from nine different stages throughout the tissue culture process and found significant genome-wide increases of DNA methylation throughout the soybean genome. This change mostly happens in CHH (H = A, T, C) context and targets transposable elements (TEs). Subsequent analyses of corresponding transcriptomes and small RNA distributions indicate that it is associated with high activity of the RNA-directed DNA methylation (RdDM) pathway. These results provide important insights into the function of a dynamic epigenome throughout tissue culture and extends our understanding of epigenome-wide reprogramming of the DNA methylome in plants. Overall design: Five samples throughout specific stages of tissue culture were analyzed in tripiicate for changes in DNA methylation, RNA expression and smalL RNA abundance"
3,"Cultivated soybean has domesticated in China for a long history, and there are several significant phenotypic differences between wild and cultivated soybeans. Seed of cultivar is generally larger than wild soybean, therefore here we comprehensively analyzed transcriptomes of thirteen soybean accessions seeds including seven wild soybeans and six landraces through applying strand-specific RNA sequencing. Differential expressed genes related seed weight were identified, some of them were known to be associated with seed development in Arabidopsis. Noncoding RNAs are known to play important roles in plant development, and we profiled the expression pattern of long noncoding RNA (lncRNA) in cultivated and wild soybean seeds. We have identified 1,251 long intergenic noncoding RNA, 243 intronic RNA and 81 antisense lncRNA, transcriptional levels of a number of lncRNAs were significantly different between cultivated and wild soybeans, suggesting that lncRNA may be involved in soybean seed development. Overall design: High-depth paired-end RNA-seq from wild and cultivated soybeans"
4,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
5,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
6,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
7,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
8,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
9,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
10,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
11,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
12,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
13,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
14,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
15,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
16,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
17,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
18,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
19,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
20,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
21,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
22,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
23,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
24,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
25,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
26,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
27,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
28,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
29,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
30,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
31,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
32,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
33,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
34,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
35,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
36,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
37,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
38,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
39,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
40,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
41,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
42,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
43,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
44,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
45,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
46,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
