library,species,version,experiment,tissue,condition,group,group.replicate,SampleDescription,SRA_run,SRA_study,publication.status,PI,Contact,sp.ver
SZCS,Glycine max,Wm82.a4.v1,standard.tissue,flower,open,flower.open,flower.open_1,Opened flowers from field grown plants in flowering stage,SRR1588521,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTG,Glycine max,Wm82.a4.v1,standard.tissue,flower,open,flower.open,flower.open_2,Opened flowers from field grown plants in flowering stage,SRR1588524,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTT,Glycine max,Wm82.a4.v1,standard.tissue,flower,open,flower.open,flower.open_3,Opened flowers from field grown plants in flowering stage,SRR1588542,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THZP,Glycine max,Wm82.a4.v1,standard.tissue,flower,unopen,flower.unopen,flower.unopen_1,Unopened flowers from field grown plants in flowering stage,SRR1589601,SRP048209,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THZS,Glycine max,Wm82.a4.v1,standard.tissue,flower,unopen,flower.unopen,flower.unopen_2,Unopened flowers from field grown plants in flowering stage,SRR1589602,SRP048209,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THZT,Glycine max,Wm82.a4.v1,standard.tissue,flower,unopen,flower.unopen,flower.unopen_3,Unopened flowers from field grown plants in flowering stage,SRR1589600,SRP048209,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUOS,Glycine max,Wm82.a4.v1,standard.tissue,lateral_root,standard,lateral_root.standard,lateral_root.standard_1,Lateral roots from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR5487702,SRP105613,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUHB,Glycine max,Wm82.a4.v1,standard.tissue,lateral_root,standard,lateral_root.standard,lateral_root.standard_2,Lateral roots from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR5487720,SRP105629,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUHW,Glycine max,Wm82.a4.v1,standard.tissue,lateral_root,standard,lateral_root.standard,lateral_root.standard_3,Lateral roots from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR5487710,SRP105619,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWH,Glycine max,Wm82.a4.v1,circadian,leaf,1130AM,leaf.1130AM,leaf.1130AM_1,Leaf collected at 11.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479058,SRP129942,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXO,Glycine max,Wm82.a4.v1,circadian,leaf,1130AM,leaf.1130AM,leaf.1130AM_2,Leaf collected at 11.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478989,SRP130011,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYT,Glycine max,Wm82.a4.v1,circadian,leaf,1130AM,leaf.1130AM,leaf.1130AM_3,Leaf collected at 11.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479035,SRP129965,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZX,Glycine max,Wm82.a4.v1,circadian,leaf,1130PM,leaf.1130PM,leaf.1130PM_1,Leaf collected at 11.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478967,SRP130033,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAP,Glycine max,Wm82.a4.v1,circadian,leaf,1130PM,leaf.1130PM,leaf.1130PM_2,Leaf collected at 11.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479008,SRP129992,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBU,Glycine max,Wm82.a4.v1,circadian,leaf,1130PM,leaf.1130PM,leaf.1130PM_3,Leaf collected at 11.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479048,SRP129952,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWS,Glycine max,Wm82.a4.v1,circadian,leaf,130AM,leaf.130AM,leaf.130AM_1,Leaf collected at 1.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478982,SRP130018,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXU,Glycine max,Wm82.a4.v1,circadian,leaf,130AM,leaf.130AM,leaf.130AM_2,Leaf collected at 1.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478992,SRP130008,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYN,Glycine max,Wm82.a4.v1,circadian,leaf,130AM,leaf.130AM,leaf.130AM_3,Leaf collected at 1.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479022,SRP129978,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZS,Glycine max,Wm82.a4.v1,circadian,leaf,130PM,leaf.130PM,leaf.130PM_1,Leaf collected at 1.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479042,SRP129958,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAW,Glycine max,Wm82.a4.v1,circadian,leaf,130PM,leaf.130PM,leaf.130PM_2,Leaf collected at 1.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479009,SRP129990,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBZ,Glycine max,Wm82.a4.v1,circadian,leaf,130PM,leaf.130PM,leaf.130PM_3,Leaf collected at 1.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478972,SRP130029,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWO,Glycine max,Wm82.a4.v1,circadian,leaf,330AM,leaf.330AM,leaf.330AM_1,Leaf collected at 3.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479056,SRP129944,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXS,Glycine max,Wm82.a4.v1,circadian,leaf,330AM,leaf.330AM,leaf.330AM_2,Leaf collected at 3.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478988,SRP130013,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYW,Glycine max,Wm82.a4.v1,circadian,leaf,330AM,leaf.330AM,leaf.330AM_3,Leaf collected at 3.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479034,SRP129966,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZO,Glycine max,Wm82.a4.v1,circadian,leaf,330PM,leaf.330PM,leaf.330PM_1,Leaf collected at 3.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479044,SRP129957,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAT,Glycine max,Wm82.a4.v1,circadian,leaf,330PM,leaf.330PM,leaf.330PM_2,Leaf collected at 3.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479011,SRP129989,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
