biosample,control,stress,drought,bacteria,inoculated,flood,deficit,infest,pathogen,acid,fungal
SAMD00025071,[],[],[],[],[],[],[],[],[],[],[]
SAMD00025072,[],[],[],[],[],[],[],[],[],[],[]
SAMD00025073,[],[],[],[],[],[],[],[],[],[],[]
SAMD00025074,[],[],[],[],[],[],[],[],[],[],[]
SAMD00025075,[],[],[],[],[],[],[],[],[],[],[]
SAMD00025076,[],[],[],[],[],[],[],[],[],[],[]
SAMD00027203,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117541,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117542,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117543,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117544,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117545,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117546,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117547,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117548,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117549,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117550,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117551,[],[],[],[],[],[],[],[],[],[],[]
SAMD00117552,[],[],[],[],[],[],[],[],[],[],[]
SAMD00133783,"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],[],[],[],[],[],[],[]
SAMD00133784,[],[],"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],[],[],[],[],[]
SAMD00133785,"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],[],[],[],[],[],[],[]
SAMD00133786,[],[],"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],[],[],[],[],[]
SAMD00133787,"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],[],[],[],[],[],[],[]
SAMD00133788,[],[],"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],[],[],[],[],[]
SAMD00161792,[],[],[],[],[],[],[],[],[],[],[]
SAMD00161793,"['attributes', 'jattr', 'treatment_sam_ss_dpl55', 'sample_title_sam']",[],[],[],[],[],[],[],[],[],[]
SAMD00161794,[],[],[],[],[],[],[],[],[],[],[]
SAMD00161795,"['attributes', 'jattr', 'treatment_sam_ss_dpl55', 'sample_title_sam']",[],[],[],[],[],[],[],[],[],[]
SAMD00161796,[],[],[],[],[],[],[],[],[],[],[]
SAMD00161797,"['attributes', 'jattr', 'treatment_sam_ss_dpl55', 'sample_title_sam']",[],[],[],[],[],[],[],[],[],[]
SAMD00161798,[],[],[],[],[],[],[],[],[],[],[]
SAMD00161799,"['attributes', 'jattr', 'treatment_sam_ss_dpl55', 'sample_title_sam']",[],[],[],[],[],[],[],[],[],[]
SAMD00182779,[],[],[],[],[],[],[],[],[],[],[]
SAMD00182780,[],[],[],[],[],[],[],[],[],[],[]
SAMD00182781,[],[],[],[],[],[],[],[],[],[],[]
SAMD00182782,[],[],[],[],[],[],[],[],[],[],[]
SAMD00182783,[],[],[],[],[],[],[],[],[],[],[]
SAMD00182784,[],[],[],[],[],[],[],[],[],[],[]
SAMD00182785,[],[],[],[],[],[],[],[],[],[],[]
SAMD00182786,[],[],[],[],[],[],[],[],[],[],[]
SAMD00182787,[],[],[],[],[],[],[],[],[],[],[]
SAMD00182788,[],[],[],[],[],[],[],[],[],[],[]
SAMD00182789,[],[],[],[],[],[],[],[],[],[],[]
SAMD00182790,[],[],[],[],[],[],[],[],[],[],[]
SAMD00183603,['sample_name_sam'],[],[],[],[],[],[],[],[],[],[]
SAMD00183604,['sample_name_sam'],[],[],[],[],[],[],[],[],[],[]
SAMD00183605,['sample_name_sam'],[],[],[],[],[],[],[],[],[],[]
SAMD00183606,[],[],[],[],[],[],[],[],[],[],[]
SAMD00183607,[],[],[],[],[],[],[],[],[],[],[]
SAMD00183608,[],[],[],[],[],[],[],[],[],[],[]
SAMD00183609,[],[],[],[],[],[],[],[],[],[],[]
SAMD00183610,[],[],[],[],[],[],[],[],[],[],[]
SAMD00183611,['Attributes'],[],[],[],[],[],[],[],[],[],[]
SAMD00216748,[],[],[],[],[],[],[],[],[],[],[]
SAMD00216749,[],[],[],[],[],[],[],[],[],[],[]
SAMD00216750,[],[],[],[],[],[],[],[],[],[],[]
SAMD00216751,[],[],[],[],[],[],[],[],[],[],[]
SAMD00216752,[],[],[],[],[],[],[],[],[],[],[]
SAMD00216753,[],[],[],[],[],[],[],[],[],[],[]
SAMD00216754,[],[],[],[],[],[],[],[],[],[],[]
SAMD00222772,[],['title'],[],[],[],[],[],[],[],[],[]
SAMD00222773,[],[],[],[],[],[],[],[],[],[],[]
SAMD00222774,[],[],[],[],[],[],[],[],[],[],[]
SAMD00222775,[],[],[],[],"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],[],[],[]
SAMD00222776,[],[],[],[],"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],[],[],[]
SAMD00222777,[],[],[],[],"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],[],[],[]
SAMD00222778,[],[],[],[],"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],[],[],[]
SAMD00222779,[],[],[],[],"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],['title'],[],[]
SAMD00222780,[],[],[],[],"['attributes', 'jattr', 'treatment_sam_ss_dpl55']",[],[],[],[],[],[]
SAMD00235524,['sample_name_sam'],[],[],[],[],[],[],[],[],[],[]
SAMD00235525,['sample_name_sam'],[],[],[],[],[],[],[],[],[],[]
SAMD00235526,['sample_name_sam'],[],[],[],[],[],[],[],[],[],[]
SAMD00235527,['sample_name_sam'],[],[],[],[],[],[],[],[],[],[]
SAMD00235528,['sample_name_sam'],[],[],[],[],[],[],[],[],[],[]
SAMD00235529,['sample_name_sam'],[],[],[],[],[],[],[],[],[],[]
SAMD00235530,['sample_name_sam'],[],[],[],[],[],[],[],[],[],[]
SAMD00235531,['sample_name_sam'],[],[],[],[],[],[],[],[],[],[]
SAMD00235532,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235533,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235534,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235535,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235536,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235537,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235538,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235539,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235540,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235541,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235542,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235543,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235544,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235545,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235546,[],[],[],[],[],[],[],[],[],[],[]
SAMD00235547,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244293,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244294,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244295,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244296,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244297,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244298,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244299,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244300,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244301,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244302,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244303,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244304,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244305,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244306,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244307,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244308,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244309,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244310,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244311,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244312,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244313,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244314,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244315,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244316,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244317,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244318,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244319,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244320,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244321,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244322,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244323,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244324,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244325,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244326,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244327,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244328,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244329,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244330,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244331,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244332,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244333,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244334,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244335,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244336,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244337,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244338,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244339,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244340,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244341,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244342,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244343,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244344,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244345,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244346,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244347,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244348,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244349,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244350,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244351,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244352,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244353,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244354,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244355,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244356,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244357,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244358,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244359,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244360,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244361,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244362,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244363,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244364,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244365,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244366,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244367,[],[],[],[],[],[],[],[],[],[],[]
