biosample,estres,tejido
SAMD00133783,control,
SAMD00133784,drought,
SAMD00133785,control,
SAMD00133786,drought,
SAMD00133787,control,
SAMD00133788,drought,
SAMD00161792,,stem
SAMD00161793,control,root
SAMD00161794,,stem
SAMD00161795,control,stem
SAMD00161796,,stem
SAMD00161797,control,shoot
SAMD00161798,,stem
SAMD00161799,control,stem
SAMD00182787,temperature,
SAMD00182788,temperature,
SAMD00182789,temperature,
SAMD00182790,temperature,
SAMD00183603,control,
SAMD00183604,control,
SAMD00183605,control,
SAMD00183611,control,
SAMD00222772,cold,root
SAMD00222773,nitrogen,root
SAMD00222774,nitrogen,root
SAMD00222775,nitrogen,root
SAMD00222776,nitrogen,root
SAMD00222777,nitrogen,root
SAMD00222778,nitrogen,root
SAMD00222779,pathogen,root
SAMD00222780,nitrogen,root
SAMD00235524,control,
SAMD00235525,control,
SAMD00235526,control,
SAMD00235527,control,
SAMD00235528,control,
SAMD00235529,control,
SAMD00235530,control,
SAMD00235531,control,
SAMD00235539,sporus,
SAMD00235540,sporus,
SAMD00235541,sporus,
SAMD00235542,sporus,
SAMD00235543,sporus,
SAMD00235544,sporus,
SAMD00235545,sporus,
SAMD00235546,sporus,
SAMD00235547,sporus,
SAMD00549638,,leaf
SAMD00549639,,leaf
SAMD00549640,,leaf
SAMD00549641,,leaf
SAMD00549642,,leaf
SAMD00549643,,leaf
SAMD00549644,,leaf
SAMD00549645,,leaf
SAMD00549646,,leaf
SAMD00549647,,leaf
SAMD00549648,,leaf
SAMD00549649,,leaf
SAMD00549650,,leaf
SAMD00549651,,leaf
SAMD00549652,,leaf
SAMD00549653,,leaf
SAMD00549654,,leaf
SAMD00549655,,leaf
SAMD00549656,,leaf
SAMD00549657,,root
SAMD00549658,,root
SAMD00549659,,root
SAMD00549660,,root
SAMD00549661,,root
SAMD00549662,,root
SAMD00549663,,root
SAMD00549664,,root
SAMD00549665,,root
SAMD00549666,,root
SAMD00549667,,root
SAMD00549668,,root
SAMD00549669,,root
SAMD00549670,,root
SAMD00549671,,root
SAMD00549672,,root
SAMD00549673,,root
SAMD00549674,,root
SAMD00549675,,root
SAMEA5071870,control,
SAMEA5071871,control,
SAMEA5071872,control,
SAMEA5071873,control,
SAMEA5071880,,leaf
SAMN00010675,,seed
SAMN00010676,,seed
SAMN00013424,control,
SAMN00264986,,cotyledon
SAMN00264987,,cotyledon
SAMN00264988,,seed
SAMN00264989,,seed
SAMN00265076,,embryo
SAMN00265078,,seed
SAMN00265079,,seed
SAMN00265080,,seed
SAMN00265081,,seed
SAMN00265082,,seed
SAMN00265083,,seed
SAMN00265084,,leave
SAMN00265085,,root
SAMN00265086,,stem
SAMN00265088,,seed
SAMN00622436,,leaf
SAMN00622437,,leaf
SAMN00622438,,leaf
SAMN00690761,,seed
SAMN00690762,inoculated,root
SAMN00690763,inoculated,root
SAMN00690764,inoculated,root
SAMN00709556,drought,
SAMN00740385,,shoot
SAMN00740386,,shoot
SAMN00765473,,cotyledon
SAMN00765474,,seed
SAMN00765475,,cotyledon
SAMN00765476,,seed
SAMN00765477,,cotyledon
SAMN00769643,,root
SAMN00769644,,stem
SAMN00769645,,leave
SAMN00769646,,cotyledon
SAMN00769647,,root
SAMN00769648,,stem
SAMN00769649,,leave
SAMN00769650,,cotyledon
SAMN01779513,,leave
SAMN01779514,,leave
SAMN01779515,,leave
SAMN01779516,,leave
SAMN01779517,,leave
SAMN01779518,,leave
SAMN01779519,,leave
SAMN01779520,,leave
SAMN01779521,,leave
SAMN01779522,,leave
SAMN01779523,,leave
SAMN01779524,,leave
SAMN01832611,temperature,
SAMN01832612,temperature,
SAMN01883195,,seed
SAMN01883196,,seed
SAMN01883199,,seed
SAMN01883200,,seed
SAMN01883201,,seed
SAMN01883202,,seed
SAMN01883203,,seed
SAMN01883204,,seed
SAMN01883205,,seed
SAMN01883206,,seed
SAMN01883207,,seed
SAMN01883208,,seed
SAMN01883209,,seed
SAMN01883210,,seed
SAMN01883211,,seed
SAMN01883212,,seed
SAMN01883213,,seed
SAMN01883214,,seed
SAMN01883215,,seed
SAMN01883216,,seed
SAMN01883217,,seed
SAMN01883218,,seed
SAMN01883219,,seed
SAMN01883220,,seed
SAMN01883221,,seed
SAMN01883222,,seed
SAMN01883223,,seed
SAMN01883224,,seed
SAMN01883225,,seed
SAMN01886330,,leave
SAMN01886331,,leave
SAMN01886332,,leave
SAMN01886333,,leave
SAMN01886334,,leave
SAMN01886335,,leave
SAMN01886336,,leave
SAMN01886337,,leave
SAMN01886338,,leave
SAMN01886339,,leave
SAMN01886340,,leave
SAMN01886341,,leave
SAMN01886342,control,leave
SAMN01886343,control,leave
SAMN01886344,control,leave
SAMN01886345,control,leave
SAMN01886346,control,leave
SAMN01886347,control,leave
SAMN01886348,control,leave
SAMN01886349,control,leave
SAMN01886350,control,leave
SAMN01886351,control,leave
SAMN01886352,control,leave
SAMN01886353,control,leave
SAMN02046329,,cotyledon
SAMN02046330,,cotyledon
SAMN02046331,,cotyledon
SAMN02046332,,cotyledon
SAMN02046333,,cotyledon
SAMN02046335,,seed
SAMN02046336,,seed
SAMN02046337,,seed
SAMN02046338,,root
SAMN02046339,,root
SAMN02046340,,seed
SAMN02046341,,seed
SAMN02046342,,seed
SAMN02046343,,seed
SAMN02046344,,seed
SAMN02046345,,seed
SAMN02047222,,embryo
SAMN02047223,,embryo
SAMN02047224,,embryo
SAMN02047225,,embryo
SAMN02047226,,embryo
SAMN02047227,,embryo
SAMN02047228,,embryo
SAMN02047229,,embryo
SAMN02047230,,embryo
SAMN02047231,,embryo
SAMN02047232,,embryo
SAMN02047233,,embryo
SAMN02047234,,embryo
SAMN02047235,,embryo
SAMN02047236,,embryo
SAMN02047237,,embryo
SAMN02047238,,embryo
SAMN02047239,,embryo
SAMN02047240,,embryo
SAMN02047241,,embryo
SAMN02047242,,embryo
SAMN02047243,,embryo
SAMN02047244,,embryo
SAMN02047245,,embryo
SAMN02047246,,embryo
SAMN02047247,,embryo
SAMN02047248,,embryo
SAMN02047249,,embryo
SAMN02047250,,embryo
SAMN02047251,,embryo
SAMN02138515,inoculated,root
SAMN02140063,,root
SAMN02140064,,root
SAMN02141514,,root
SAMN02141624,inoculated,root
SAMN02147106,,leaf
SAMN02147117,,leaf
SAMN02191990,control,seed
SAMN02191991,drought,seed
SAMN02191992,,seed
SAMN02191993,control,seed
SAMN02191994,drought,seed
SAMN02191995,control,seed
SAMN02191996,drought,seed
SAMN02191997,,seed
SAMN02191998,,seed
SAMN02191999,,seed
SAMN02192000,,seed
SAMN02192001,,seed
SAMN02192002,,seed
SAMN02192003,,seed
SAMN02192004,,seed
SAMN02192005,,seed
SAMN02192006,,seed
SAMN02192007,,seed
SAMN02192008,,seed
SAMN02192009,,seed
SAMN02192010,,seed
SAMN02192011,,seed
SAMN02192012,,seed
SAMN02192013,,seed
SAMN02197688,,leaf
SAMN02197690,,pod
SAMN02197691,,pod
SAMN02197692,,pod
SAMN02197693,,seed
SAMN02197694,,seed
SAMN02197696,,seed
SAMN02197697,,seed
SAMN02197698,,seed
SAMN02197699,,seed
SAMN02197700,,seed
SAMN02197701,,root
SAMN02225589,inoculated,hypocotyl
SAMN02225590,inoculated,hypocotyl
