biosample,control,ctrl,stress,drought,bacteria,inoculated,flood,deficit,infest,pathogen,acid,fung,sporus,iron,aluminum,cadmium,cold,temperature,nitrogen,heat
SAMN09513405,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36760700,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'dev_stage_sam': 'R89-2-1 at low temperature treatment for 12 hours'},{},{}
SAMN22841297,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Clark scion on IsoClark rootstock (Clk/Iso), 30 minutes after transfer, rep 1 root tissue, sufficient iron', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN20971795,{},{},{},{},{},"{'source_name_sam': '7 day old hypocotyls inoculated with Phytophthora sojae', 'title': 'Mock-inoculated Williams rep 3 [WM-3a]'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359827,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Root tissue, PI 090392 (G10), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN21359678,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 578366 (G3), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN25290789,{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'low oleic acid content', 'isolate': 'low oleic acid content'}",{},{},{},{},{},{},{},{},{}
SAMN21359672,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 612611 (G2), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN36760710,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'dev_stage_sam': 'R89-5-2 at non-low temperature treatment for 48 hours'},{},{}
SAMN10588623,{},{},"{'treatment_sam_ss_dpl55': 'produced under Early Soybean Production System heat stress in Stoneville, MO 201', 'treatment': 'produced under Early Soybean Production System heat stress in Stoneville, MO 201'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'produced under Early Soybean Production System heat stress in Stoneville, MO 201', 'treatment': 'produced under Early Soybean Production System heat stress in Stoneville, MO 201'}"
SAMN11849880,{},{},{'title': 'Clark -Fe Stress T1 Leaf'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09987958,"{'treatment_sam_ss_dpl55': 'control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05580232,"{'source_name_sam': 'Line Williams 82_Depodding_Control3', 'sample_group_sam_s_dpl128': 'Control', 'title': 'Depodding_Control3.1'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21216013,{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI 548379 grown in non-stress conditions', 'treatment': 'Soybean cultivar PI 548379 grown in non-stress conditions'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09240720,{},{},{},{},{},{'title': 'RNA-seq of soybean seedlings inoculated with Gluconacetobacter diazotrophicus _biological replicate 1'},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36630247,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Acidity+water deficit+low phosphate+salinity', 'title': 'Combined acidity+water deficit+low phosphate+salinity leaves replicate 3', 'treatment': 'Acidity+water deficit+low phosphate+salinity'}",{},{},"{'treatment_sam_ss_dpl55': 'Acidity+water deficit+low phosphate+salinity', 'title': 'Combined acidity+water deficit+low phosphate+salinity leaves replicate 3', 'treatment': 'Acidity+water deficit+low phosphate+salinity'}",{},{},{},{},{},{},{},{},{}
SAMN10721176,{},{},{},{},{},{},{},{},"{'age_sam': '5 day post aphid infestation', 'age': '5 day post aphid infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN12861902,{},{},{},"{'sample_name': 'Soybean_submergence_and_drought', 'primary_search': ""['12861902', '574626', 'GRL8902_28_TGACCA_L004_R1.fastq.gz', 'PRJNA574626', 'SAMN12861902', 'SRP223694', 'SRR10202481', 'SRS5453538', 'SRX6922638', 'SUB_REC_R_1', 'Soybean_submergence_and_drought', 'bp0']"", 'Sample name': 'Soybean_submergence_and_drought'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN12099678,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Mock Inoculated', 'title': 'Soybean root mock inoculated at 10 DPI mRNA', 'treatment': 'Mock Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN29494544,"{'sample_name': 'B_control', 'primary_search': ""['29494544', '855551', 'B48_CM_ATCACG_L006', 'B48_CM_ATCACG_L006_R1_001.fastq.P.trimmed.gz', 'B_control', 'PRJNA855551', 'SAMN29494544', 'SRP385895', 'SRR20079142', 'SRS13779517', 'SRX16116927', 'bp0']"", 'Sample name': 'B_control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359733,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 086145 (G12), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
