biosample,bioproject,tejido,estres,tratamiento
SAMD00235524,PRJDB10183,seedling,fungus,control
SAMD00235525,PRJDB10183,seedling,fungus,control
SAMD00235526,PRJDB10183,seedling,fungus,control
SAMD00235527,PRJDB10183,seedling,fungus,control
SAMD00235528,PRJDB10183,seedling,fungus,control
SAMD00235529,PRJDB10183,seedling,fungus,control
SAMD00235530,PRJDB10183,seedling,fungus,control
SAMD00235531,PRJDB10183,seedling,fungus,treatment
SAMD00235532,PRJDB10183,seedling,fungus,treatment
SAMD00235533,PRJDB10183,seedling,fungus,treatment
SAMD00235534,PRJDB10183,seedling,fungus,treatment
SAMD00235535,PRJDB10183,seedling,fungus,treatment
SAMD00235536,PRJDB10183,seedling,fungus,treatment
SAMD00235537,PRJDB10183,seedling,fungus,treatment
SAMD00235538,PRJDB10183,seedling,fungus,treatment
SAMD00235539,PRJDB10183,seedling,fungus,treatment
SAMD00235540,PRJDB10183,seedling,fungus,treatment
SAMD00235541,PRJDB10183,seedling,fungus,treatment
SAMD00235542,PRJDB10183,seedling,fungus,treatment
SAMD00235543,PRJDB10183,seedling,fungus,treatment
SAMD00235544,PRJDB10183,seedling,fungus,treatment
SAMD00235545,PRJDB10183,seedling,fungus,treatment
SAMD00235546,PRJDB10183,seedling,fungus,treatment
SAMD00235547,PRJDB10183,seedling,fungus,treatment
SAMD00276044,PRJDB11138,leaf,,control
SAMD00276045,PRJDB11138,leaf,,treatment
SAMD00276046,PRJDB11138,leaf,,control
SAMD00276047,PRJDB11138,leaf,,treatment
SAMD00276048,PRJDB11138,leaf,,control
SAMD00276049,PRJDB11138,leaf,,treatment
SAMD00276050,PRJDB11138,leaf,,control
SAMD00276051,PRJDB11138,leaf,,treatment
SAMD00276052,PRJDB11138,leaf,,control
SAMD00276053,PRJDB11138,leaf,,treatment
SAMD00276054,PRJDB11138,leaf,,control
SAMD00276055,PRJDB11138,leaf,,treatment
SAMD00276056,PRJDB11138,leaf,,control
SAMD00276057,PRJDB11138,leaf,,treatment
SAMD00276058,PRJDB11138,leaf,,control
SAMD00276059,PRJDB11138,leaf,,treatment
SAMD00276060,PRJDB11138,leaf,,control
SAMD00276061,PRJDB11138,leaf,,treatment
SAMD00276062,PRJDB11138,leaf,,control
SAMD00276063,PRJDB11138,leaf,,treatment
SAMD00276064,PRJDB11138,leaf,,control
SAMD00276065,PRJDB11138,leaf,,treatment
SAMD00276066,PRJDB11138,leaf,,control
SAMD00276067,PRJDB11138,leaf,,treatment
SAMD00276068,PRJDB11138,leaf,,control
SAMD00276069,PRJDB11138,leaf,,treatment
SAMD00276070,PRJDB11138,leaf,,control
SAMD00276071,PRJDB11138,leaf,,treatment
