,12856 runs samples,,,,873 bioprojects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control/Treated,Run,BioSample,Experiment,SRA Study,BioProject,tissue,Cultivar,Library Name,Age,dev_stage,treatment,source_name,isolate,Ecotype,genotype,replicate,growth_protocol,Biological_replicate,Accession,Sample_Time,photoperiod,Developmental_stage,sample_type,population,Phenotype,isolation_source,disease,BIOME,Sample_Name,cell_type,nominal_length (run),Temp,Host,disease_stage,Specimen_voucher,strain,graft_combination,Id,age_at_rna_extraction,Timepoint,STAGE,cell_line,sex,seed_compartments/tissue,compartment,Line,Time_point,tissue_type,fasta_file (run),height_or_length,genotype/variation,dangling_references (run),preservation,growth_condition,genetic_background,purification,seed_length,Time,Location,time_after_imbibition,Subregion,Library_ID,file_name,generation,Env_package,Investigation_type,project_name,SAMPLE,identity,sampling_time_point,tissue_source,Day_Moved,infection,Ion_Stress,quality_book_char (run),VIGS,Development_stage,quality_scoring_system (run),rna_input_amount,Broker_name,common_name,develomental_stage,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Organism_part,sample_group,Submitter_Id,Block,tissue_developmental_stage,BREED,48_h_inoculation,Sampling_time_(h),transgene,seed_harvest_year,condition,transgenic_line,cultivar/line,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Scientific_Name,infection_time,replication
con ,SRR22105688,SAMN31521702,SRX18085697,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_6b,,S6,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105689,SAMN31521701,SRX18085696,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_6a,,S6,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105690,SAMN31521700,SRX18085695,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_5b,,S5,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105691,SAMN31521699,SRX18085694,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_5a,,S5,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105692,SAMN31521748,SRX18085693,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_8b,,S8,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105693,SAMN31521747,SRX18085692,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_8a,,S8,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105694,SAMN31521746,SRX18085691,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_7b,,S7,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105695,SAMN31521745,SRX18085690,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_7a,,S7,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
