Control/Treated,BioSample
con,SAMN31521702
con,SAMN31521701
con,SAMN31521700
con,SAMN31521699
con,SAMN31521748
con,SAMN31521747
con,SAMN31521746
con,SAMN31521745
con,SAMN31521744
con,SAMN31521743
con,SAMN31521698
con,SAMN31521742
con,SAMN31521741
con,SAMN31521740
con,SAMN31521739
con,SAMN31521738
con,SAMN31521737
con,SAMN31521736
con,SAMN31521735
con,SAMN31521734
con,SAMN31521733
con,SAMN31521697
con,SAMN31521732
con,SAMN31521731
con,SAMN31521730
con,SAMN31521729
con,SAMN31521728
con,SAMN31521727
con,SAMN31521726
con,SAMN31521725
con,SAMN31521724
con,SAMN31521723
con,SAMN31521696
con,SAMN31521722
con,SAMN31521721
con,SAMN31521720
con,SAMN31521719
con,SAMN31521718
con,SAMN31521717
con,SAMN31521716
con,SAMN31521715
con,SAMN31521714
con,SAMN31521713
con,SAMN31521695
con,SAMN31521712
con,SAMN31521711
con,SAMN31521710
con,SAMN31521709
con,SAMN31521708
con,SAMN31521707
con,SAMN31521706
con,SAMN31521705
con,SAMN31521704
con,SAMN31521703
con,SAMN31521694
con,SAMN31521693
stress,SAMN29494563
stress,SAMN29494562
stress,SAMN29494561
con,SAMN29494560
stress,SAMN29494559
stress,SAMN29494558
stress,SAMN29494557
con,SAMN29494556
con,SAMN33196668
con,SAMN33196667
con,SAMN33196666
con,SAMN33196665
stress,SAMN33196664
stress,SAMN33196663
stress,SAMN33196662
stress,SAMN33196661
stress,SAMN33199890
stress,SAMN33199882
stress,SAMN33199881
con,SAMN30885896
con,SAMN30885896
con,SAMN30885896
stress,SAMN30888707
stress,SAMN30888707
stress,SAMN30888707
stress,SAMN30889184
stress,SAMN30889184
stress,SAMN30889184
stress,SAMN30890075
stress,SAMN30890074
stress,SAMN30890074
stress,SAMN30890074
con,SAMN30890073
con,SAMN30890073
con,SAMN30890073
stress,SAMN30890072
stress,SAMN30890076
stress,SAMN30890076
stress,SAMN30890076
stress,SAMN30890075
stress,SAMN30890075
stress,SAMN30890072
stress,SAMN30890072
con,SAMN30806746
con,SAMN30806745
con,SAMN30806744
con,SAMN30806755
con,SAMN30806756
con,SAMN30806754
con,SAMN30806753
con,SAMN30806752
con,SAMN30806743
con,SAMN30806751
con,SAMN30806750
con,SAMN30806749
con,SAMN30806748
con,SAMN30806747
con,SAMN30806742
con,SAMN27487600
con,SAMN27488112
con,SAMN27488514
con,SAMN33439949
con,SAMN33439948
con,SAMN33439947
con,SAMN33439883
con,SAMN33439881
con,SAMN33427311
con,SAMN33560458
con,SAMN33560457
con,SAMN33560456
con,SAMN33560455
stress,SAMN36735055
stress,SAMN36735054
stress,SAMN36735053
stress,SAMN36735243
stress,SAMN36735242
stress,SAMN36735241
con,SAMN32016129
con,SAMN32016128
con,SAMN32016127
con,SAMN32016126
con,SAMN32016125
con,SAMN32016124
con,SAMN33844086
con,SAMN33844979
con,SAMN33846941
con,SAMN33846940
con,SAMN33845189
con,SAMN33845188
con,SAMN33845187
stress,SAMN30003064
stress,SAMN30003064
stress,SAMN30003063
stress,SAMN30003063
stress,SAMN30003063
stress,SAMN30003063
con,SAMN30003062
stress,SAMN30003067
stress,SAMN30003067
stress,SAMN30003067
stress,SAMN30003067
con,SAMN30003062
stress,SAMN30003066
