biosample,control,stress,drought,bacteria,inoculated,flood,deficit,infest,pathogen,acid,fungal,sporus
SAMD00025071,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00025072,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00025073,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00025074,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00025075,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00025076,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00027203,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117541,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117542,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117543,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117544,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117545,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117546,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117547,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117548,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117549,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117550,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117551,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00117552,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00133783,"{'attributes': '[{k=bases, v=1033168656}, {k=bytes, v=717959154}, {k=run_file_create_date, v=2020-07-17T17:29:00.000Z}, {k=cultivar_sam, v=Williams 82}, {k=tissue_type_sam_s_dpl410, v=leaf}, {k=treatment_sam_ss_dpl55, v=control}, {k=primary_search, v=15569391}, {k=primary_search, v=647067}, {k=primary_search, v=DRP006320}, {k=primary_search, v=DRR146878}, {k=primary_search, v=DRS146893}, {k=primary_search, v=DRX137670}, {k=primary_search, v=PRJDB7219}, {k=primary_search, v=SAMD00133783}]', 'jattr': ""{'bases': '1033168656', 'bytes': '717959154', 'run_file_create_date': '2020-07-17T17:29:00.000Z', 'cultivar_sam': 'Williams 82', 'tissue_type_sam_s_dpl410': 'leaf', 'treatment_sam_ss_dpl55': 'control', 'primary_search': ['15569391', '647067', 'DRP006320', 'DRR146878', 'DRS146893', 'DRX137670', 'PRJDB7219', 'SAMD00133783']}"", 'treatment_sam_ss_dpl55': 'control'}",{},{},{},{},{},{},{},{},{},{},{}
SAMD00133784,{},{},"{'attributes': '[{k=bases, v=1234702512}, {k=bytes, v=844605188}, {k=run_file_create_date, v=2020-07-17T17:28:00.000Z}, {k=cultivar_sam, v=Williams 82}, {k=tissue_type_sam_s_dpl410, v=leaf}, {k=treatment_sam_ss_dpl55, v=drought treated}, {k=primary_search, v=15569392}, {k=primary_search, v=647067}, {k=primary_search, v=DRP006320}, {k=primary_search, v=DRR146879}, {k=primary_search, v=DRS146894}, {k=primary_search, v=DRX137671}, {k=primary_search, v=PRJDB7219}, {k=primary_search, v=SAMD00133784}]', 'jattr': ""{'bases': '1234702512', 'bytes': '844605188', 'run_file_create_date': '2020-07-17T17:28:00.000Z', 'cultivar_sam': 'Williams 82', 'tissue_type_sam_s_dpl410': 'leaf', 'treatment_sam_ss_dpl55': 'drought treated', 'primary_search': ['15569392', '647067', 'DRP006320', 'DRR146879', 'DRS146894', 'DRX137671', 'PRJDB7219', 'SAMD00133784']}"", 'treatment_sam_ss_dpl55': 'drought treated'}",{},{},{},{},{},{},{},{},{}
SAMD00133785,"{'attributes': '[{k=bases, v=699093456}, {k=bytes, v=481454893}, {k=run_file_create_date, v=2020-07-17T17:29:00.000Z}, {k=cultivar_sam, v=Williams 82}, {k=tissue_type_sam_s_dpl410, v=stem}, {k=treatment_sam_ss_dpl55, v=control}, {k=primary_search, v=15569393}, {k=primary_search, v=647067}, {k=primary_search, v=DRP006320}, {k=primary_search, v=DRR146880}, {k=primary_search, v=DRS146895}, {k=primary_search, v=DRX137672}, {k=primary_search, v=PRJDB7219}, {k=primary_search, v=SAMD00133785}]', 'jattr': ""{'bases': '699093456', 'bytes': '481454893', 'run_file_create_date': '2020-07-17T17:29:00.000Z', 'cultivar_sam': 'Williams 82', 'tissue_type_sam_s_dpl410': 'stem', 'treatment_sam_ss_dpl55': 'control', 'primary_search': ['15569393', '647067', 'DRP006320', 'DRR146880', 'DRS146895', 'DRX137672', 'PRJDB7219', 'SAMD00133785']}"", 'treatment_sam_ss_dpl55': 'control'}",{},{},{},{},{},{},{},{},{},{},{}
SAMD00133786,{},{},"{'attributes': '[{k=bases, v=930585216}, {k=bytes, v=647479220}, {k=run_file_create_date, v=2020-07-17T17:28:00.000Z}, {k=cultivar_sam, v=Williams 82}, {k=tissue_type_sam_s_dpl410, v=stem}, {k=treatment_sam_ss_dpl55, v=drought treated}, {k=primary_search, v=15569394}, {k=primary_search, v=647067}, {k=primary_search, v=DRP006320}, {k=primary_search, v=DRR146881}, {k=primary_search, v=DRS146896}, {k=primary_search, v=DRX137673}, {k=primary_search, v=PRJDB7219}, {k=primary_search, v=SAMD00133786}]', 'jattr': ""{'bases': '930585216', 'bytes': '647479220', 'run_file_create_date': '2020-07-17T17:28:00.000Z', 'cultivar_sam': 'Williams 82', 'tissue_type_sam_s_dpl410': 'stem', 'treatment_sam_ss_dpl55': 'drought treated', 'primary_search': ['15569394', '647067', 'DRP006320', 'DRR146881', 'DRS146896', 'DRX137673', 'PRJDB7219', 'SAMD00133786']}"", 'treatment_sam_ss_dpl55': 'drought treated'}",{},{},{},{},{},{},{},{},{}
SAMD00133787,"{'attributes': '[{k=bases, v=826556688}, {k=bytes, v=570861599}, {k=run_file_create_date, v=2020-07-17T17:29:00.000Z}, {k=cultivar_sam, v=Williams 82}, {k=tissue_type_sam_s_dpl410, v=root}, {k=treatment_sam_ss_dpl55, v=control}, {k=primary_search, v=15569395}, {k=primary_search, v=647067}, {k=primary_search, v=DRP006320}, {k=primary_search, v=DRR146882}, {k=primary_search, v=DRS146897}, {k=primary_search, v=DRX137674}, {k=primary_search, v=PRJDB7219}, {k=primary_search, v=SAMD00133787}]', 'jattr': ""{'bases': '826556688', 'bytes': '570861599', 'run_file_create_date': '2020-07-17T17:29:00.000Z', 'cultivar_sam': 'Williams 82', 'tissue_type_sam_s_dpl410': 'root', 'treatment_sam_ss_dpl55': 'control', 'primary_search': ['15569395', '647067', 'DRP006320', 'DRR146882', 'DRS146897', 'DRX137674', 'PRJDB7219', 'SAMD00133787']}"", 'treatment_sam_ss_dpl55': 'control'}",{},{},{},{},{},{},{},{},{},{},{}
SAMD00133788,{},{},"{'attributes': '[{k=bases, v=924684480}, {k=bytes, v=646584753}, {k=run_file_create_date, v=2020-07-17T17:28:00.000Z}, {k=cultivar_sam, v=Williams 82}, {k=tissue_type_sam_s_dpl410, v=root}, {k=treatment_sam_ss_dpl55, v=drought treated}, {k=primary_search, v=15569396}, {k=primary_search, v=647067}, {k=primary_search, v=DRP006320}, {k=primary_search, v=DRR146883}, {k=primary_search, v=DRS146898}, {k=primary_search, v=DRX137675}, {k=primary_search, v=PRJDB7219}, {k=primary_search, v=SAMD00133788}]', 'jattr': ""{'bases': '924684480', 'bytes': '646584753', 'run_file_create_date': '2020-07-17T17:28:00.000Z', 'cultivar_sam': 'Williams 82', 'tissue_type_sam_s_dpl410': 'root', 'treatment_sam_ss_dpl55': 'drought treated', 'primary_search': ['15569396', '647067', 'DRP006320', 'DRR146883', 'DRS146898', 'DRX137675', 'PRJDB7219', 'SAMD00133788']}"", 'treatment_sam_ss_dpl55': 'drought treated'}",{},{},{},{},{},{},{},{},{}
SAMD00161792,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00161793,"{'attributes': '[{k=bases, v=4462006280}, {k=bytes, v=1917622510}, {k=run_file_create_date, v=2019-02-14T16:20:00.000Z}, {k=biological_replicate_sam, v=biological replicate 2}, {k=bioproject_id_sam, v=PRJDB7775}, {k=cultivar_sam, v=Sachiyutaka}, {k=dev_stage_sam, v=R5}, {k=growth_condition_sam, v=Field}, {k=sample_title_sam, v=control_20160916_rep1}, {k=time_sam, v=9:00-10:00}, {k=tissue_sam_ss_dpl145, v=main stem}, {k=treatment_sam_ss_dpl55, v=control}, {k=primary_search, v=10923264}, {k=primary_search, v=522702}, {k=primary_search, v=DRP004833}, {k=primary_search, v=DRR169692}, {k=primary_search, v=DRS088204}, {k=primary_search, v=DRX160306}, {k=primary_search, v=PRJDB7775}, {k=primary_search, v=SAMD00161793}]', 'jattr': ""{'bases': '4462006280', 'bytes': '1917622510', 'run_file_create_date': '2019-02-14T16:20:00.000Z', 'biological_replicate_sam': 'biological replicate 2', 'bioproject_id_sam': 'PRJDB7775', 'cultivar_sam': 'Sachiyutaka', 'dev_stage_sam': 'R5', 'growth_condition_sam': 'Field', 'sample_title_sam': 'control_20160916_rep1', 'time_sam': '9:00-10:00', 'tissue_sam_ss_dpl145': 'main stem', 'treatment_sam_ss_dpl55': 'control', 'primary_search': ['10923264', '522702', 'DRP004833', 'DRR169692', 'DRS088204', 'DRX160306', 'PRJDB7775', 'SAMD00161793']}"", 'treatment_sam_ss_dpl55': 'control', 'sample_title_sam': 'control_20160916_rep1'}",{},{},{},{},{},{},{},{},{},{},{}
SAMD00161794,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00161795,"{'attributes': '[{k=bases, v=312218068}, {k=bytes, v=128074377}, {k=run_file_create_date, v=2019-02-14T16:20:00.000Z}, {k=biological_replicate_sam, v=biological replicate 2}, {k=bioproject_id_sam, v=PRJDB7775}, {k=cultivar_sam, v=Sachiyutaka}, {k=dev_stage_sam, v=R5}, {k=growth_condition_sam, v=Field}, {k=sample_title_sam, v=control_20160916_rep2}, {k=time_sam, v=9:00-10:00}, {k=tissue_sam_ss_dpl145, v=main stem}, {k=treatment_sam_ss_dpl55, v=control}, {k=primary_search, v=10923266}, {k=primary_search, v=522702}, {k=primary_search, v=DRP004833}, {k=primary_search, v=DRR169694}, {k=primary_search, v=DRS088206}, {k=primary_search, v=DRX160308}, {k=primary_search, v=PRJDB7775}, {k=primary_search, v=SAMD00161795}]', 'jattr': ""{'bases': '312218068', 'bytes': '128074377', 'run_file_create_date': '2019-02-14T16:20:00.000Z', 'biological_replicate_sam': 'biological replicate 2', 'bioproject_id_sam': 'PRJDB7775', 'cultivar_sam': 'Sachiyutaka', 'dev_stage_sam': 'R5', 'growth_condition_sam': 'Field', 'sample_title_sam': 'control_20160916_rep2', 'time_sam': '9:00-10:00', 'tissue_sam_ss_dpl145': 'main stem', 'treatment_sam_ss_dpl55': 'control', 'primary_search': ['10923266', '522702', 'DRP004833', 'DRR169694', 'DRS088206', 'DRX160308', 'PRJDB7775', 'SAMD00161795']}"", 'treatment_sam_ss_dpl55': 'control', 'sample_title_sam': 'control_20160916_rep2'}",{},{},{},{},{},{},{},{},{},{},{}
SAMD00161796,{},{},{},{},{},{},{},{},{},{},{},{}
