bioproject,name,title,description,doi,abstract
PRJDB10183,Glycine max,RNA sequencing of fungal-fermented soybean,"Flavonoids are an important class of plant specialized metabolites. They have various biological functions, including antioxidant action and interaction with other organisms. For example, daidzein and genistein are required for symbiosis with rhizobia, and daidzein is a precursor of glyceollin. Previous studies showed that isoflavonoids were increased by the inoculation of fungi in soybean. However, transcriptomic and metabolomic change by fungal inoculation has not yet been investigated. In this study, we investigated the metabolic response of fungal-fermented soybean seedlings at the transcriptome and metabolome levels.",32894761,"Isoflavonoids are commonly found in leguminous plants. Glycitein is one of the isoflavones produced by soybean. The genes encoding the enzymes in the isoflavone biosynthetic pathway have mostly been identified and characterized. However, the gene(s) for isoflavone O-methyltransferase (IOMT), which catalyzes the last step of glycitein biosynthesis, has not yet been identified. In this study, we conducted multi-omics analyses of fungal-inoculated soybean and indicated that glycitein biosynthesis was induced in response to biotic stress. Moreover, we identified a unique type of IOMT, which participates in glycitein biosynthesis. Soybean seedlings were inoculated with Aspergillus oryzae or Rhizopus oligosporus and sampled daily for 8&#x2009;d. Multi-omics analyses were conducted using liquid chromatography-tandem mass spectrometry and RNA sequencing. Metabolome analysis revealed that glycitein derivatives increased following fungal inoculation. Transcriptome co-expression analysis identified two candidate IOMTs that were co-expressed with the gene encoding flavonoid 6-hydroxylase (F6H), the key enzyme in glycitein biosynthesis. The enzymatic assay of the two IOMTs using respective recombinant proteins showed that one IOMT, named as GmIOMT1, produced glycitein. Unlike other IOMTs, GmIOMT1 belongs to the cation-dependent OMT family and exhibited the highest activity with Zn2+ among cations tested. Moreover, we demonstrated that GmIOMT1 overexpression increased the levels of glycitein derivatives in soybean hairy roots when F6H was co-expressed. These results strongly suggest that GmIOMT1 participates in inducing glycitein biosynthesis in response to biotic stress."
PRJNA881271,Inner Mongolia Academy of Agricultural &amp; Animal Husbandry Sciences,Transcriptome analysis of soybean roots in response to boron deficiency,"Boron (B) is an essential micronutrient essential for normal plant normal growth and development. B deficiency is detrimental to Glycine max (L.) Merr., which is one of the leading oil-crops. species, is extremely susceptible to B deficiency. In this study, the physiological analysis of soybean seedlings under B deficiency (T1, T2, T3, T4) and control (CK1, CK2, CK3, CK4) after 12 h, 24 h, 72 h, and 8 d was carried out, and the roots were subjected to transcriptome sequencing analysis. The results showed that under B deficiency, the plant height, SPAD, and chlorophyll fluorescence value (Fv/Fm) of soybean seedlings decreased significantly, indicating that B stresses significantly inhibited plant growth and photosynthesis. After RNA-seq sequencing, showed a total of 5126 DEGs (Differentially Expressed Genes) were obtained, including 953 DEGs at 12 h, 760 DEGs at 24 h, 1945 DEGs at 72 h and 1468 DEGs at 8 d. There were 9Nine DEGs co-existed at the four-time treatmentspoints, among which GLYMA_03G130600 regulated regulates transcription factor ORG3, which was is related to plant growth. GO analysis showed thatrevealed a total of annotated 8763 DEGs were annotated, among which the terms plasma membrane, extracellular, enzyme activity, ion transport metabolic process and oxidoreductase activity were significantly enriched at the four -time treatmentspoints, which might hinder the growth of soybean and accelerate senescence. KEGG analysis showed that at level 1, the DEGs were mainly enriched in photosynthesis-related, phenylpropanoid biosynthesis, nitrogen metabolism, and plant hormone signal transduction. At level 2 of secondary metabolism, the DEGs were mainly enriched in energy metabolism and amino acid metabolism pathways, which indicates that B stresses mainly affect photosynthesis, hormone regulation and amino acid metabolism of soybean, thus affecting plant growth. Through The above results, give deeper more comprehensive insights into the soybean response to B deficiency would be focused and lay a the foundation for the further studies of the molecular mechanism of soybean response to boron deficiency.",,
PRJNA478334,,,,,
PRJNA464061,Epigenomics of Glycine max,Epigenomics of Glycine max,"Cytosine methylation is a base modification that is often used by genomes to store information that is stably inherited through mitotic cell divisions. Most cytosine DNA methylation is stable throughout different cell types or by exposure to different environmental conditions in plant genomes. Here, we profile the epigenomes of ~100 Glycine max lines to explore the extent of natural epigenomic variation. We also use these data to determine the extent to which DNA methylation variants are linked to genetic variations. Overall design: 100 MethylC-seq, 102 RNA-seq, 102 small RNA-seq of Glycine max.",,
PRJNA999924,soybean,Study on chilling tolerance of soybean during germination,Study on gene co-expression network and key genes related to chilling tolerance of soybean during germination,,
PRJNA1121049,Northeast Agricultural University,Soybean transcriptome sequencing data,Transcriptome sequencing raw data of extreme materials from soybean chromosome segment substitution lines,,
PRJNA648781,Nanjing Agricultural University,Single Nucleotide Polymorphisms database of RIL YHSBLP,"Single Nucleotide Polymorphisms dataset of the 573 soybean accessions selected from the Panel named YHSBLP obtained from National Center for Soybean Improvement, Nanjing Agricultural University (NAU), Nanjing-China. It was used for analysis in the paper entitled: Identification of Quantitative Trait Nucleotides and Candidate Genes for Soybean Seed Weight by Multiple Models of Genome-wide Association Study",,
PRJNA599357,Soybean Expression Atlas in Reproductive Organ Development,Soybean Expression Atlas in Reproductive Organ Development,"In cereal crop plants, sexual development and reproduction are key steps in producing seeds. However, genes responsible for reproductive function and development are largely unknown in soybean. Here, the soybean flower development was divided into three stages, namely the early stage(E), before pollination (BP) and post-pollination (PP). The flowers were hand-dissected into six tissues under the stereomicroscope, including anther (An), filament (Fi), stigma (St), style and ovary (SO), petal (Pe) and sepal (Se). All samples were processed for total RNA extraction and RNA sequencing (RNA-seq) data were generated in this study. Overall design: The soybean reproductive organ mRNA profiles of Williams 82 were generated by deep sequencing, in triplicate, using Illumina Nova Seq.",,
PRJNA776648,Glycine max,Expression analysis of reciprocal grafted of near-isogenic soybean lines under iron stress,"Iron stress response signaling between roots and shoots is not well understood in soybean. While studies have identified early responses to iron stress (as early as 30 minutes) the signaling pathway has not been well documented. In this study we used near-isogenic lines (Clark [Clk] and IsoClark [Iso]) to create four types of grafts (scion/roots), two homografts (Clk/Clk and Iso/Iso) and two heterografts (Clk/Iso and Iso/Clk). In hydroponics we subjected half the grafted seedlings to iron stress and collected leaf and root tissue after 30 and 120 minutes after iron stress; we extracted and sequenced RNA from the tissue samples. We identified differentially expressed genes and differences in expression patterns between grafting combinations. These results support the hypothesis that the physiological and molecular iron stress response is determined by the root genotype.",,
PRJNA802889,Hiroshima University,"A Low-Phytate Soybean Line Disturbs Seed Development-Dependent mRNA Splicing in the Phytate synthesis gene inositol-1,3,4 trisphosphate 5/6-kinase (GmITPK3)","Low-phytate (LP) crops may improve the mineral bioavailability in monogastric animals, which will serve to decrease phosphate pollution. Recently, we reported a newly developed LP soybean line with normal emergence, growth, and yield when compared to the Natto-kotsubu (Natto) cultivar. The RNA-Seq was used to investigate the mechanism underlying reduction in phytic acid levels without impact to physiological characteristics in this LP line. an intron retention (IR) event was detected in inositol-1,3,4 trisphosphate 5/6-kinase 3 (GmITPK3) in LP leaves compared to the reference transcriptome and 34 % of the isoform belonged to an IR isoform. The PCR amplification results showed the LP line produced abundant IR transcripts (IRTs) compared to Natto cultivar and NP line. The predicted amino acid (AA) of IR may have no function compared to the non-intron retention transcript (nIRT). The abundance of each IRTs was changed during seeds development may maintain the phytic acid level in Natto cultivar, however, the abundant of IRTs produced in LP line may perturb the phosphorylation of InsP4 to InsP5 and/or create a negative feedback effect on InsP4 and InsP3 synthesis, leading to reduced phytic acid levels in the LP line during seed development. Hence, the GmITPK3 mutant might involve the decrease the level of phytic acid in seeds without harming the plants, thus representing a new strategy for LP crop development.",,
