biosample,attr
SAMD00235537,"{'title': 'Aspergillus_oryzae_6', 'Identifiers': {'BioSample': 'SAMD00235537'}, 'Organism': 'Glycine max', 'Attributes': {'age': 'DAS6', 'treatment': 'Aspergillus oryzae'}, 'Accession': 'SAMD00235537', 'ID': '17154052'}"
SAMN30889879,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN30889879', 'Sample name': 'CK (1,2,3,4)', 'SRA': 'SRS15192176'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'B sufficient', 'cultivar': 'missing', 'ecotype': 'missing', 'age': 'missing', 'tissue': 'Root'}, 'Accession': 'SAMN30889879', 'ID': '30889879'}"
SAMN09513405,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN09513405', 'Sample name': 'SL209648', 'SRA': 'SRS3480825'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'P. sojae 1.S.1.1', 'cultivar': '12279', 'ecotype': 'Conrad x Sloan', 'age': '24 hai', 'tissue': 'inoculation site: ~2 cm below the crown', 'disease': 'Phytophthora root and stem rot', 'population': 'F9:11 Recombinant inbred line', 'treatment': 'Inoculated'}, 'Accession': 'SAMN09513405', 'ID': '9513405'}"
SAMN09078292,"{'title': 'mRNA gmax PI641156 NC-Raleigh', 'Identifiers': {'BioSample': 'SAMN09078292', 'SRA': 'SRS3262752', 'GEO': 'GSM3132253'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'PI641156 NC-Raleigh', 'tissue': 'leaf'}, 'Accession': 'SAMN09078292', 'ID': '9078292'}"
SAMN36760700,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN36760700', 'Sample name': 'R89-2-1', 'SRA': 'SRS18451534'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'R89-2 line repeat 1 in CSSL population', 'tissue': 'Embryo'}, 'Accession': 'SAMN36760700', 'ID': '36760700'}"
SAMN41725164,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN41725164', 'Sample name': 'LP1_HRT_3', 'SRA': 'SRS21543890'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'LPHO_3', 'tissue': 'seed'}, 'Accession': 'SAMN41725164', 'ID': '41725164'}"
SAMN15648563,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN15648563', 'Sample name': 'S12C292', 'SRA': 'SRS7093128'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'P563', 'ecotype': 'YHSBLP', 'age': 'not applicable', 'tissue': 'seed'}, 'Accession': 'SAMN15648563', 'ID': '15648563'}"
SAMN13746624,"{'title': 'PP-SO-2', 'Identifiers': {'BioSample': 'SAMN13746624', 'SRA': 'SRS5952821', 'GEO': 'GSM4254060'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'style and ovary', 'cultivar': 'Williams 82'}, 'Accession': 'SAMN13746624', 'ID': '13746624'}"
SAMN22841297,"{'title': 'Clark scion on IsoClark rootstock (Clk/Iso), 30 minutes after transfer, rep 1 root tissue, sufficient iron', 'Identifiers': {'BioSample': 'SAMN22841297', 'Sample name': 'G3_30min_Rep1_Root_Suf', 'SRA': 'SRS10903011'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'L65-1255 (IsoClark)', 'accession': 'PI 547430', 'age': '30 minutes after transfer', 'tissue': 'whole root', 'collection_location': 'Ames, IA', 'graft_combination': 'G3 (Clk/Iso)', 'treatment': 'Sufficient iron', 'biological_replicate': 'Rep 1 of 3'}, 'Accession': 'SAMN22841297', 'ID': '22841297'}"
SAMN25601483,"{'title': 'HS5', 'Identifiers': {'BioSample': 'SAMN25601483', 'Sample name': 'LP-line-replicate 1', 'SRA': 'SRS11863060'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'Saneoka Hirofumi', 'cultivar': 'low phytate', 'ecotype': 'non', 'age': '21d seeding', 'tissue': 'Leaf', 'genotype': 'LP'}, 'Accession': 'SAMN25601483', 'ID': '25601483'}"
