biosample,acc,assay_type,center_name,consent,experiment,sample_name,instrument,librarylayout,libraryselection,librarysource,platform,sample_acc,organism,sra_study,releasedate,bioproject,mbytes,loaddate,avgspotlen,mbases,insertsize,library_name,biosamplemodel_sam,collection_date_sam,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam,ena_first_public_run,ena_last_update_run,sample_name_sam,datastore_filetype,datastore_provider,datastore_region,run_file_version,random
SAMD00235537,DRR237204,RNA-Seq,RIKEN_CSRS,public,DRX227388,SAMD00235537,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,DRS166643,Glycine max,DRP006834,2020-12-24,PRJDB10183,2191.0,,200.0,4673.0,,,,,,,,,,[Aspergillus_oryzae_DAS6],"[sra, run.zq]","[s3, ncbi, gs]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.999994821472405
SAMN30889879,SRR21660183,RNA-Seq,INNER MONGOLIA ACADEMY OF AGRICULTURAL & ANIMAL HUSBANDRY SCIENCES,public,SRX17659913,"CK (1,2,3,4)",Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS15192176,Glycine max,SRP398455,2022-12-01,PRJNA881271,1911.0,,300.0,6300.0,,LRA39026,[Plant],,China,Asia,[China: Hohhot],,,,"[sra, run.zq, fastq]","[ncbi, gs, s3]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.999912409674417
SAMN09513405,SRR7447776,RNA-Seq,THE OHIO STATE UNIVERSITY,public,SRX4318240,SL209648,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,SRS3480825,Glycine max,SRP151542,2019-07-25,PRJNA478334,227.0,,200.0,634.0,,SL209648,[Plant],,USA,North America,[USA: Ohio],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.999817339530406
SAMN09078292,SRR7124263,RNA-Seq,GEO,public,SRX4045331,GSM3132253,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS3262752,Glycine max,SRP144662,2018-05-08,PRJNA464061,850.0,,126.0,2489.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.999636260237916
SAMN36760700,SRR25459671,RNA-Seq,SOYBEAN,public,SRX21192507,R89-2-1,Illumina HiSeq 4000,PAIRED,PCR,TRANSCRIPTOMIC,ILLUMINA,SRS18451534,Glycine max,SRP452188,2023-08-03,PRJNA999924,1838.0,,299.0,6132.0,,R89-2-1,[Plant],,China,Asia,[China:Changchun],,,,"[sra, run.zq, fastq]","[s3, gs, ncbi]","[ncbi.public, gs.us-east1, s3.us-east-1]",1.0,0.99955767345165
SAMN41725164,SRR29314525,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX24831300,LPHO_HRT_3,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,ILLUMINA,SRS21543890,Glycine max,SRP512345,2024-06-07,PRJNA1121049,2160.0,,297.0,7198.0,,LPHO_HRT_3,[Plant],[2018-07-18],China,Asia,[China:Harbin],,,,"[run.zq, fastq, sra]","[gs, s3, ncbi]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.999526487200954
SAMN15648563,SRR12328313,RNA-Seq,NANJING AGRICULTURAL UNIVERSITY,public,SRX8828845,S12C292,Illumina HiSeq 2000,SINGLE,other,GENOMIC,ILLUMINA,SRS7093128,Glycine max,SRP273644,2020-08-10,PRJNA648781,0.0,,61166.0,0.0,,P563,[Plant],,China,Asia,[China],,,,"[fastq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.99948016926576
SAMN13746624,SRR10842083,RNA-Seq,GEO,public,SRX7513084,GSM4254060,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS5952821,Glycine max,SRP239780,2024-05-31,PRJNA599357,1839.0,,300.0,5869.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.999253196669351
SAMN22841297,SRR18100563,RNA-Seq,USDA,public,SRX14251480,G3_30min_Rep1_Root_Suf,Illumina HiSeq 3000,SINGLE,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS10903011,Glycine max,SRP344348,2022-06-01,PRJNA776648,261.0,,84.0,2592.0,,G3_T1_R1_RS,[Plant],[2019-12-04],USA,North America,[USA],,,,"[run.zq, sra, bam]","[s3, gs, ncbi]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.999058291007217
SAMN25601483,SRR17867083,RNA-Seq,HIROSHIMA UNIVERSITY,public,SRX14026831,LP-line-replicate 1,Illumina NovaSeq 6000,PAIRED,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS11863060,Glycine max,SRP357932,2022-02-02,PRJNA802889,1707.0,,300.0,5337.0,,546432134,[Plant],,Japan,Asia,[Japan],,,,"[fastq, run.zq, sra]","[ncbi, s3, gs]","[s3.us-east-1, gs.us-east1, ncbi.public]",1.0,0.998958249798582
