,0
0,SAMD00025071
1,SAMD00025072
2,SAMD00025073
3,SAMD00133785
4,SAMD00133786
5,SAMD00161792
6,SAMD00161793
7,SAMD00161794
8,SAMD00161795
9,SAMD00161796
10,SAMD00161797
11,SAMD00161798
12,SAMD00161799
13,SAMD00216748
14,SAMD00216750
15,SAMD00216751
16,SAMD00216752
17,SAMD00216753
18,SAMD00216754
19,SAMN00265086
20,SAMN00740385
21,SAMN00740386
22,SAMN00769648
23,SAMN02009288
24,SAMN02009289
25,SAMN02009290
26,SAMN02009291
27,SAMN02009292
28,SAMN02644803
29,SAMN02644804
30,SAMN03014458
31,SAMN03014459
32,SAMN03014460
33,SAMN03014461
34,SAMN03014462
35,SAMN03014463
36,SAMN03014464
37,SAMN03014465
38,SAMN03014466
39,SAMN03014467
40,SAMN03014468
41,SAMN03014469
42,SAMN03014470
43,SAMN03014471
44,SAMN03014472
45,SAMN03014473
46,SAMN03014474
47,SAMN03014475
48,SAMN03014476
49,SAMN03014477
50,SAMN03014478
51,SAMN03014479
52,SAMN03014480
53,SAMN03014481
54,SAMN04932639
55,SAMN04932642
56,SAMN04932645
57,SAMN04932648
58,SAMN05915160
59,SAMN05915163
60,SAMN05915166
61,SAMN05915169
62,SAMN06313145
63,SAMN06314056
64,SAMN06313761
65,SAMN06313158
66,SAMN06313396
67,SAMN06313235
68,SAMN07759887
69,SAMN07759888
70,SAMN08287152
71,SAMN08287153
72,SAMN08287154
73,SAMN08287155
74,SAMN08287156
75,SAMN08287157
76,SAMN08287158
77,SAMN08287159
78,SAMN08287160
79,SAMN08287161
80,SAMN08287162
81,SAMN08287163
82,SAMN08287164
83,SAMN08287165
84,SAMN08287166
85,SAMN08287167
86,SAMN08287168
87,SAMN08287169
88,SAMN08287170
89,SAMN08287171
90,SAMN08287172
91,SAMN08287173
92,SAMN08287174
93,SAMN08287175
94,SAMN08287176
95,SAMN08287177
96,SAMN08287178
97,SAMN08287179
98,SAMN08287180
99,SAMN08287181
100,SAMN08287182
101,SAMN08287183
102,SAMN08287184
103,SAMN08287185
104,SAMN08287186
105,SAMN09214162
106,SAMN09214163
107,SAMN09214164
108,SAMN09214165
109,SAMN09214166
110,SAMN09214167
111,SAMN09214168
112,SAMN09214169
113,SAMN09214170
114,SAMN09214171
115,SAMN09214172
116,SAMN09214173
117,SAMN09214174
118,SAMN09214175
119,SAMN09214176
120,SAMN09214177
121,SAMN09214178
122,SAMN09214179
123,SAMN09214180
124,SAMN09214181
125,SAMN09214182
126,SAMN09214183
127,SAMN09214186
128,SAMN09214187
129,SAMN09690612
130,SAMN09690617
131,SAMN09690622
132,SAMN09690627
133,SAMN09715574
134,SAMN09715575
135,SAMN09715576
136,SAMN09715577
137,SAMN09715578
138,SAMN09715579
139,SAMN09715580
140,SAMN09715581
141,SAMN09715582
142,SAMN09715583
143,SAMN09715584
144,SAMN09715585
145,SAMN09715586
146,SAMN09715587
147,SAMN09715588
148,SAMN09715589
149,SAMN09715590
150,SAMN09715591
151,SAMN09715592
152,SAMN09715593
153,SAMN09715595
154,SAMN09715612
155,SAMN09715613
156,SAMN09715614
157,SAMN09715615
158,SAMN09715616
159,SAMN09715617
160,SAMN09715619
161,SAMN09715620
162,SAMN09715621
163,SAMN09715622
164,SAMN09715625
165,SAMN09715626
166,SAMN09715627
167,SAMN09715628
168,SAMN09715631
169,SAMN09715632
170,SAMN09715633
171,SAMN09715634
172,SAMN09715635
173,SAMN09715636
174,SAMN09715637
175,SAMN09715638
176,SAMN09715639
177,SAMN09715640
178,SAMN09715641
179,SAMN09715643
180,SAMN09715644
181,SAMN09715645
182,SAMN09715646
183,SAMN09715649
184,SAMN09715650
185,SAMN09715651
186,SAMN09715653
187,SAMN09715654
188,SAMN09715655
189,SAMN09715656
190,SAMN09715657
191,SAMN09715659
192,SAMN09715660
193,SAMN09715661
194,SAMN09715662
195,SAMN09715663
196,SAMN09715664
197,SAMN09715665
198,SAMN09715667
199,SAMN09715668
200,SAMN09715669
201,SAMN09715670
202,SAMN09715671
203,SAMN09715672
204,SAMN09715673
205,SAMN09715674
206,SAMN09715675
207,SAMN09715676
208,SAMN09715678
209,SAMN09715681
210,SAMN09715682
211,SAMN09715684
212,SAMN09715685
213,SAMN09715686
214,SAMN09715687
215,SAMN09715688
216,SAMN09715689
217,SAMN09715690
218,SAMN09715691
219,SAMN09715692
220,SAMN09715693
221,SAMN09715694
222,SAMN09715695
223,SAMN09715696
224,SAMN09715697
225,SAMN09715698
226,SAMN09715700
227,SAMN09715702
228,SAMN09715703
229,SAMN09715704
230,SAMN09715706
231,SAMN09715707
232,SAMN09715708
233,SAMN09715709
234,SAMN09715711
235,SAMN09715712
236,SAMN09715713
237,SAMN09715714
238,SAMN09715715
239,SAMN09715717
240,SAMN09715718
241,SAMN09715721
242,SAMN09715722
243,SAMN09715723
244,SAMN09715725
245,SAMN09715726
246,SAMN09715727
247,SAMN09715728
248,SAMN09715729
249,SAMN09715730
250,SAMN09715732
251,SAMN09715733
252,SAMN09715734
253,SAMN09715736
254,SAMN09715738
255,SAMN09715739
256,SAMN09715740
257,SAMN09715741
258,SAMN09715744
259,SAMN09715745
260,SAMN09715747
261,SAMN09715748
262,SAMN09715749
263,SAMN09715750
264,SAMN09715752
265,SAMN09715753
266,SAMN09715755
267,SAMN09715757
268,SAMN09715758
269,SAMN09715760
270,SAMN09715761
271,SAMN09715762
272,SAMN09715763
273,SAMN09715764
274,SAMN09715765
275,SAMN09715767
276,SAMN09715768
277,SAMN09715769
278,SAMN09715770
279,SAMN09715771
280,SAMN09715772
281,SAMN09715773
282,SAMN09715774
283,SAMN09715775
284,SAMN09715777
285,SAMN09715778
286,SAMN09715779
287,SAMN09715780
288,SAMN09715781
289,SAMN09715782
290,SAMN09715783
