biosample,acc,assay_type,center_name,consent,experiment,sample_name,instrument,librarylayout,libraryselection,librarysource,platform,sample_acc,organism,sra_study,releasedate,bioproject,mbytes,loaddate,avgspotlen,mbases,insertsize,library_name,biosamplemodel_sam,collection_date_sam,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam,ena_first_public_run,ena_last_update_run,sample_name_sam,datastore_filetype,datastore_provider,datastore_region,run_file_version,random,bases,bytes,run_file_create_date,age_sam,treatment_sam_ss_dpl55,primary_search,cultivar_sam,dev_stage_sam,ecotype_sam,isolate_sam_ss_dpl100,tissue_sam_ss_dpl145,disease_sam,population_sam_s_dpl40,geo_accession_exp,source_name_sam,developmental_stage_sam,assemblyname,accession_sam,biological_replicate_sam,collected_by_sam,collection_location_sam,graft_combination_sam,growth_protocol_sam_s_dpl216,genotype_sam_ss_dpl92,id_column_sam,biomaterial_provider_sam,photoperiod_sam,sample_time_sam,treatment_time_point_sam_s_dpl419,replicate_sam_ss_dpl121,nominal_length_run,run_id_run,biome_sam,env_package_sam,estimated_size_sam,feature_sam,investigation_type_sam,isol_growth_condt_sam,lat_lon_sam_s_dpl34,material_sam,num_replicons_sam,ploidy_sam,project_name_sam,propagation_sam,ref_biomaterial_sam,strain_sam_ss_dpl139,dangling_references_run,hours_after_treatment_sam,development_stage_sam,fasta_file_run,phenotype_sam,seed_harvest_year_sam,specimen_voucher_sam,host_sam,isolation_source_sam,compartment_sam,sex_calc,breed_sam,sample_type_sam_ss_dpl131,condition_sam_ss_dpl69,transgenic_line_sam_s_dpl414,genetic_background_sam,cell_type_sam_ss_dpl37,line_sam_s_dpl22,sample_group_sam_s_dpl128,time_point_sam,culture_collection_sam_ss_dpl468,sample_sam,location_sam,develomental_stage_sam,cell_line_sam,tmp_sam,seed_length_sam,read_name_barcode_proc_directive_run,growth_condition_sam,file_name_sam,library_id_sam,label_sam,stage_sam,disease_stage_sam_s_dpl172,seed_compartments_tissue_sam,temp_sam,generation_sam_s_dpl91,transgenic_status_sam,preservation_sam,seed_region_sam,seed_weight_sam,trait_sam,treatment_stage_sam,time_after_imbibition_sam,tissue_type_sam_s_dpl410,infection_time_sam,plant_phenotype_sam,time_sam,hours_post_inoculation_sam_s_dpl245,identity_sam,bioproject_id_sam,sample_title_sam,sampling_time_point_sam_s_dpl522,transgene_sam,height_or_length_sam,id_sam,growth_stage_sam,treatment_time_sam,distinctive_attribute_sam,phosphorus_conccentration_sam,age_at_rna_extraction_sam,timepoint_sam_ss_dpl17,genotype_variation_sam,sample_id_sam,tissue_source_sam,experimental_factor__7_1_exp,broker_name_sam,common_name_sam,ena_first_public_sam_dt_dpl178,ena_last_update_sam_ss_dpl537,external_id_sam,insdc_center_alias_sam,insdc_center_name_sam,insdc_first_public_sam,insdc_last_update_sam,insdc_status_sam,metabolic_process_sam,organism_part_sam,submitter_id_sam,agent_sam,block_sam,sample_summary_sam,purification_sam,gene_insert_sam,strain_ecotype_sam,tissue_and_developemental_stage_sam,technique_sam,day_moved_sam,ion_stress_sam,vigs_sam,infection_sam,fungal_isolate_sam,_48_h_inoculation_sam,sampling_time__h__sam,reference_annotation_used_for_mapping_sam,root_zone_sam,days_after_treatment_sam,dehydration_sam,glyceollins_elicitation_sam,medium_ph_sam,replication_sam_s_dpl43,cummulative_precipitation_at_sampling_sam,sampling_date_sam,temperature_at_sampling_sam,seed_field_emergence_sam,time_of_seed_harvest_sam,pi_email_run,pi_name_run,pi_orcid_run,pi_organization_run,subregion_sam,total_rna_input_amount_sam,identifier_seq_id_sam,truseq_index_500_sam,truseq_index_700_sam,well_position_sam,inoculation_sam,cultivar_line_sam,tissue_1_sam,tissue_2_sam,cultivar_genotype_sam,library_type_sam_s_dpl277,mutant_sam,tissue_developmental_stage_sam,experimental_factor__cultivar_exp,experimental_factor__growth_condition_exp,experimental_factor__time_exp,ena_first_public_sam,ena_last_update_sam,scientific_name_sam,dawei_sam,md5sum_sam,ozone_level_sam,replicates_sam_s_dpl124,experimental_factor__phenotype_exp,infect_sam,body_site_sam,specific_host_sam,cultivars_sam,pigmentation_sam,design_description_sam,filetype_sam,instrument_model_sam,library_layout_sam,library_selection_sam,library_source_sam,library_strategy_sam,platform_sam,title_sam,graft_scion_sam,graft_stock_sam,manganese_concentration_sam,tem_sam,fusarium_virguliforme_strain_sam,soybean_cultivar_sam,tissue_age_sam_s_dpl615,experimental_factor__6_0_exp,tag_sam,filename2_sam,filename_sam,reference_annotation_sam,inoculation_treatment_sam,mg_concentration_sam,cultivar_id_sam,cultivar_type_sam,innoculation_sam,experimental_factor__1_8_exp,tissue_3_sam,tissue_4_sam,description_sam,individual_sam,env_broad_scale_sam,env_local_scale_sam,env_medium_sam,quality_book_char_run,quality_scoring_system_run,accession_ecotype_sam,tissue_and_developmental_stage_sam,experimental_factor__1_4_exp,concentration_sam,cultivation_pattren_sam,er_gfp_sam,subsrc_note_sam_s_dpl392,authors_sam,env_biome_sam
SAMD00133783,DRR146878,RNA-Seq,KOCHI,public,DRX137670,SAMD00133783,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,ILLUMINA,DRS146893,Glycine max,DRP006320,2020-07-17,PRJDB7219,684.0,,48.0,1033.0,,,,,,,,,,[sample_1],"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.232367721060819,1033168656.0,717959154.0,2020-07-17T17:29:00.000Z,,control,"['15569391', '647067', 'DRP006320', 'DRR146878', 'DRS146893', 'DRX137670', 'PRJDB7219', 'SAMD00133783']",Williams 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00133784,DRR146879,RNA-Seq,KOCHI,public,DRX137671,SAMD00133784,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,ILLUMINA,DRS146894,Glycine max,DRP006320,2020-07-17,PRJDB7219,805.0,,48.0,1234.0,,,,,,,,,,[sample_2],"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.730435733233032,1234702512.0,844605188.0,2020-07-17T17:28:00.000Z,,drought treated,"['15569392', '647067', 'DRP006320', 'DRR146879', 'DRS146894', 'DRX137671', 'PRJDB7219', 'SAMD00133784']",Williams 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00133785,DRR146880,RNA-Seq,KOCHI,public,DRX137672,SAMD00133785,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,ILLUMINA,DRS146895,Glycine max,DRP006320,2020-07-17,PRJDB7219,459.0,,48.0,699.0,,,,,,,,,,[sample_3],"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.426043293454661,699093456.0,481454893.0,2020-07-17T17:29:00.000Z,,control,"['15569393', '647067', 'DRP006320', 'DRR146880', 'DRS146895', 'DRX137672', 'PRJDB7219', 'SAMD00133785']",Williams 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00133786,DRR146881,RNA-Seq,KOCHI,public,DRX137673,SAMD00133786,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,ILLUMINA,DRS146896,Glycine max,DRP006320,2020-07-17,PRJDB7219,617.0,,48.0,930.0,,,,,,,,,,[sample_4],"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.481535610362376,930585216.0,647479220.0,2020-07-17T17:28:00.000Z,,drought treated,"['15569394', '647067', 'DRP006320', 'DRR146881', 'DRS146896', 'DRX137673', 'PRJDB7219', 'SAMD00133786']",Williams 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00133787,DRR146882,RNA-Seq,KOCHI,public,DRX137674,SAMD00133787,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,ILLUMINA,DRS146897,Glycine max,DRP006320,2020-07-17,PRJDB7219,544.0,,48.0,826.0,,,,,,,,,,[sample_5],"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.682339500469171,826556688.0,570861599.0,2020-07-17T17:29:00.000Z,,control,"['15569395', '647067', 'DRP006320', 'DRR146882', 'DRS146897', 'DRX137674', 'PRJDB7219', 'SAMD00133787']",Williams 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00133788,DRR146883,RNA-Seq,KOCHI,public,DRX137675,SAMD00133788,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,ILLUMINA,DRS146898,Glycine max,DRP006320,2020-07-17,PRJDB7219,616.0,,48.0,924.0,,,,,,,,,,[sample_6],"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.953190600793139,924684480.0,646584753.0,2020-07-17T17:28:00.000Z,,drought treated,"['15569396', '647067', 'DRP006320', 'DRR146883', 'DRS146898', 'DRX137675', 'PRJDB7219', 'SAMD00133788']",Williams 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00161793,DRR169692,RNA-Seq,NICS,public,DRX160306,DRS088204,Illumina HiSeq 4000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,DRS088204,Glycine max,DRP004833,2019-02-14,PRJDB7775,1828.0,,202.0,4462.0,,,,,,,,,,[D-1-1-1],"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.982206349771545,4462006280.0,1917622510.0,2019-02-14T16:20:00.000Z,,control,"['10923264', '522702', 'DRP004833', 'DRR169692', 'DRS088204', 'DRX160306', 'PRJDB7775', 'SAMD00161793']",Sachiyutaka,R5,,,main stem,,,,,,,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field,,,,,,,,,,,,,,,,,,,9:00-10:00,,,PRJDB7775,control_20160916_rep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00161795,DRR169694,RNA-Seq,NICS,public,DRX160308,DRS088206,Illumina HiSeq 4000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,DRS088206,Glycine max,DRP004833,2019-02-14,PRJDB7775,122.0,,202.0,312.0,,,,,,,,,,[D-2-1-1],"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.648541967166983,312218068.0,128074377.0,2019-02-14T16:20:00.000Z,,control,"['10923266', '522702', 'DRP004833', 'DRR169694', 'DRS088206', 'DRX160308', 'PRJDB7775', 'SAMD00161795']",Sachiyutaka,R5,,,main stem,,,,,,,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field,,,,,,,,,,,,,,,,,,,9:00-10:00,,,PRJDB7775,control_20160916_rep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00161797,DRR169696,RNA-Seq,NICS,public,DRX160310,DRS088208,Illumina HiSeq 4000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,DRS088208,Glycine max,DRP004833,2019-02-14,PRJDB7775,1592.0,,202.0,4153.0,,,,,,,,,,[D-1-2-2],"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.87218154644402,4153637322.0,1669458011.0,2019-02-14T16:21:00.000Z,,control,"['10923268', '522702', 'DRP004833', 'DRR169696', 'DRS088208', 'DRX160310', 'PRJDB7775', 'SAMD00161797']",Sachiyutaka,R5,,,main stem,,,,,,,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field,,,,,,,,,,,,,,,,,,,9:00-10:00,,,PRJDB7775,control_20160930_rep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD00161799,DRR169698,RNA-Seq,NICS,public,DRX160312,DRS088210,Illumina HiSeq 4000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,DRS088210,Glycine max,DRP004833,2019-02-14,PRJDB7775,2161.0,,202.0,5636.0,,,,,,,,,,[D-2-2-2],"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.791190433317818,5636706172.0,2266885088.0,2019-02-14T16:21:00.000Z,,control,"['10923270', '522702', 'DRP004833', 'DRR169698', 'DRS088210', 'DRX160312', 'PRJDB7775', 'SAMD00161799']",Sachiyutaka,R5,,,main stem,,,,,,,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field,,,,,,,,,,,,,,,,,,,9:00-10:00,,,PRJDB7775,control_20160930_rep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
